open,high,low,close,Volume,timestamp
1687.865,1688.305,1687.575,1687.955,0.0432899993320461,1970-01-01 00:00:00.025630501
1695.948,1696.218,1695.718,1696.148,0.0366299994348083,1970-01-01 00:00:00.025630503
1704.398,1705.118,1704.368,1704.938,0.0418899996802793,1970-01-01 00:00:00.025630504
1699.375,1699.608,1698.785,1699.478,0.114909998650546,1970-01-01 00:00:00.025630505
1686.635,1687.548,1686.388,1687.198,0.0828799987211823,1970-01-01 00:00:00.025630506
1700.898,1701.198,1700.548,1700.998,0.106269998919743,1970-01-01 00:00:00.025630507
1718.058,1718.278,1717.758,1717.758,0.0230699996463954,1970-01-01 00:00:00.025630508
1705.538,1705.628,1705.458,1705.458,0.0033299999486189,1970-01-01 00:00:00.025630510
1696.955,1697.695,1696.818,1697.458,0.107749999151565,1970-01-01 00:00:00.025630511
1709.498,1709.698,1709.348,1709.488,0.0603099990694318,1970-01-01 00:00:00.025630512
1715.268,1715.548,1715.098,1715.448,0.113879998534685,1970-01-01 00:00:00.025630513
1730.098,1730.328,1729.598,1729.678,0.0700499993545236,1970-01-01 00:00:00.025630514
1740.498,1740.528,1739.428,1739.658,0.151779998050188,1970-01-01 00:00:00.025630515
1752.425,1752.805,1752.035,1752.195,0.0301099995704135,1970-01-01 00:00:00.025630517
1733.425,1734.075,1732.705,1733.298,0.217289996646286,1970-01-01 00:00:00.025630518
1738.815,1739.405,1738.635,1739.145,0.116464998209267,1970-01-01 00:00:00.025630519
1747.048,1747.938,1746.728,1747.598,0.139489997847704,1970-01-01 00:00:00.025630520
1723.328,1724.208,1723.328,1723.728,0.109569998501684,1970-01-01 00:00:00.025630521
1736.138,1737.128,1735.948,1737.048,0.069130000367295,1970-01-01 00:00:00.025630522
1731.335,1732.495,1731.255,1732.465,0.0340399994747713,1970-01-01 00:00:00.025630524
1727.798,1727.988,1727.688,1727.688,0.0199799996917136,1970-01-01 00:00:00.025630525
1711.098,1711.858,1711.018,1711.658,0.095169998545316,1970-01-01 00:00:00.025630526
1702.355,1702.888,1701.598,1702.808,0.0650900005857693,1970-01-01 00:00:00.025630527
1722.235,1722.535,1722.065,1722.125,0.0780699987953994,1970-01-01 00:00:00.025630528
1727.305,1727.415,1727.155,1727.285,0.078569998848252,1970-01-01 00:00:00.025630529
1738.875,1739.055,1738.845,1738.855,0.0103599998401478,1970-01-01 00:00:00.025630531
1735.958,1736.638,1735.908,1736.115,0.0823299992771354,1970-01-01 00:00:00.025630601
1738.275,1738.295,1737.595,1737.815,0.0636399990180507,1970-01-01 00:00:00.025630602
1695.758,1695.998,1694.775,1695.228,0.118769998167409,1970-01-01 00:00:00.025630603
1713.368,1713.588,1713.068,1713.335,0.113769998650241,1970-01-01 00:00:00.025630604
1681.508,1681.938,1680.468,1680.658,0.165899997460656,1970-01-01 00:00:00.025630605
1680.375,1680.465,1680.315,1680.445,0.0055499999143648,1970-01-01 00:00:00.025630607
1691.215,1691.335,1690.925,1691.185,0.106559998355806,1970-01-01 00:00:00.025630608
1717.195,1717.325,1716.865,1717.055,0.0740699988673441,1970-01-01 00:00:00.025630609
1716.878,1717.095,1716.245,1716.395,0.115939998264366,1970-01-01 00:00:00.025630610
1742.745,1742.965,1742.295,1742.435,0.118369998504932,1970-01-01 00:00:00.025630611
1741.498,1741.528,1740.678,1740.818,0.0881600003485801,1970-01-01 00:00:00.025630612
1732.365,1732.468,1732.035,1732.185,0.0103599998401478,1970-01-01 00:00:00.025630614
1719.958,1720.408,1719.878,1719.898,0.103379998414312,1970-01-01 00:00:00.025630615
1728.258,1729.688,1727.425,1727.505,0.134939998286427,1970-01-01 00:00:00.025630616
1723.555,1723.645,1723.335,1723.545,0.048839999246411,1970-01-01 00:00:00.025630617
1723.718,1723.835,1723.095,1723.535,0.0797399991861312,1970-01-01 00:00:00.025630618
1733.825,1734.998,1733.725,1734.898,0.0859600010589929,1970-01-01 00:00:00.025630619
1747.308,1747.308,1746.948,1746.948,0.0122099998116028,1970-01-01 00:00:00.025630621
1757.585,1758.428,1757.525,1758.368,0.138329997884284,1970-01-01 00:00:00.025630622
1767.548,1767.548,1767.278,1767.448,0.0896299990126863,1970-01-01 00:00:00.025630623
1773.298,1773.598,1771.298,1771.798,0.0692200026751379,1970-01-01 00:00:00.025630624
1759.298,1759.368,1758.955,1759.308,0.117659998184536,1970-01-01 00:00:00.025630625
1751.875,1753.152,1751.775,1752.475,0.109179998617037,1970-01-01 00:00:00.025630626
1772.778,1772.778,1772.325,1772.348,0.0136899997887667,1970-01-01 00:00:00.025630628
1773.128,1773.168,1772.938,1773.085,0.0641099990461953,1970-01-01 00:00:00.025630629
1784.998,1785.398,1784.325,1785.398,0.120069999393309,1970-01-01 00:00:00.025630630
1761.608,1762.258,1761.595,1761.878,0.127369998474023,1970-01-01 00:00:00.025630701
1776.985,1778.285,1776.975,1778.255,0.117139998241328,1970-01-01 00:00:00.025630702
1776.648,1776.978,1776.568,1776.758,0.022509999704198,1970-01-01 00:00:00.025630703
1775.468,1775.468,1775.108,1775.108,0.0030999999726191,1970-01-01 00:00:00.025630705
1782.578,1783.258,1782.388,1783.198,0.03908000006777,1970-01-01 00:00:00.025630706
1793.068,1794.178,1793.068,1794.158,0.110229999045259,1970-01-01 00:00:00.025630707
1811.448,1811.538,1810.755,1810.855,0.0799499993227073,1970-01-01 00:00:00.025630708
1799.825,1799.965,1797.598,1797.798,0.177999998384621,1970-01-01 00:00:00.025630709
1801.638,1802.998,1801.388,1802.898,0.17203000014706,1970-01-01 00:00:00.025630710
1800.498,1800.848,1800.498,1800.848,0.0025899999600369,1970-01-01 00:00:00.025630712
1805.835,1805.975,1805.385,1805.425,0.10063999844715,1970-01-01 00:00:00.025630713
1808.268,1808.408,1807.838,1808.078,0.0530000001672306,1970-01-01 00:00:00.025630714
