open,high,low,close,Volume,timestamp,price_range,body_size,upper_shadow,lower_shadow,sma_5,ema_5,sma_10,ema_10,sma_20,ema_20,sma_50,ema_50,price_above_sma20,price_above_ema20,rsi,macd,macd_signal,macd_histogram,bb_upper,bb_lower,bb_position,volatility,atr,momentum_1,momentum_3,momentum_5,momentum_10,volume_sma,volume_ratio,price_volume,wave_trend,wave_strength,support_resistance
1687.865,1688.645,1684.658,1685.395,0.668689991114661,1970-01-01 00:00:00.025630501,3.98700000000008,2.4700000000000273,0.7799999999999727,0.73700000000008,0.0,1685.395,0.0,1685.395,0.0,1685.395,0.0,1685.395,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1685.395,0,0.0,0
1694.925,1697.328,1694.895,1696.948,0.352339994562499,1970-01-01 00:00:00.025630503,2.4329999999999927,2.0230000000001382,0.37999999999988177,0.029999999999972715,0.0,1692.3267999999998,0.0,1691.74915,0.0,1691.4603250000002,0.0,1691.28703,0,1,0.0,0.2592019230769438,0.14400106837607987,0.11520085470086391,0.0,0.0,0.0,0.0,0.0,0.006854772916734753,0.0,0.0,0.0,1.0,1.0,1696.948,0,0.0,0
1705.948,1706.518,1704.398,1705.058,0.519604994740803,1970-01-01 00:00:00.025630504,2.1200000000001182,0.8900000000001,0.5699999999999363,0.6600000000000819,0.0,1698.3573684210523,0.0,1697.099219269103,0.0,1696.4533097418816,0.0,1696.0621657112385,0,1,0.0,0.5817653128935945,0.323412643998012,0.25835266889558245,0.0,0.0,0.0,0.0,0.0,0.0047791682479367825,0.0,0.0,0.0,1.0,1.0,1705.058,0,0.0,1
1697.168,1700.268,1696.868,1698.588,1.22498498120694,1970-01-01 00:00:00.025630505,3.400000000000091,1.4200000000000728,1.6800000000000637,0.2999999999999545,0.0,1698.4531692307692,0.0,1697.5897061881187,0.0,1697.0695618142142,0.0,1696.7320066633347,0,1,0.0,0.48061898949890747,0.37666682607826113,0.10395216342064634,0.0,0.0,0.0,0.0,0.0,-0.003794592324718571,0.007827838577900037,0.0,0.0,1.0,1.0,1698.588,0,0.0,0
1689.245,1689.678,1684.448,1686.588,1.12215998246393,1970-01-01 00:00:00.025630506,5.230000000000018,2.6569999999999254,0.4330000000002201,2.1399999999998727,1694.5153999999998,1693.8982938388626,0.0,1694.431415560479,0.0,1694.5341612075106,0.0,1694.537722352271,0,0,0.0,-0.06196826633049568,0.24618280287241964,-0.30815106920291535,0.0,0.0,0.0,0.0,0.0,-0.007064691378957155,-0.006105078057783819,0.0,0.0,1.0,1.0,1686.588,0,0.0,-1
1698.398,1698.578,1695.378,1696.208,0.786239987442968,1970-01-01 00:00:00.025630507,3.2000000000000455,2.189999999999827,0.18000000000006366,0.8300000000001546,1696.6779999999999,1694.7422917293236,0.0,1694.89285590588,0.0,1694.887264736117,0.0,1694.8446666252746,0,1,0.0,0.02438483943888059,0.18606322305371814,-0.16167838361483755,0.0,0.0,0.0,0.0,0.0,0.005703823340377223,-0.0051904392695145685,0.006415706703769786,0.0,1.0,1.0,1696.208,0,0.0,0
1711.428,1719.158,1711.428,1718.198,1.2745449850845,1970-01-01 00:00:00.025630508,7.729999999999791,6.769999999999982,0.959999999999809,0.0,1700.9279999999999,1703.0469111219043,0.0,1700.50845944241,0.0,1699.2947477916198,0.0,1698.5942579871642,0,1,0.0,1.075527963038894,0.4111630199839326,0.6643649430549614,0.0,0.0,0.0,0.0,0.0,0.012964211936272063,0.011544883161779262,0.01252248153744251,0.0,1.0,1.0,1718.198,0,0.0,1
1706.658,1707.385,1704.878,1705.008,0.193589997041272,1970-01-01 00:00:00.025630510,2.507000000000062,1.6499999999998636,0.7270000000000891,0.13000000000010914,1700.9180000000001,1703.72714924663,0.0,1701.5321266037743,0.0,1700.2823121437311,0.0,1699.5126072713265,0,1,0.0,1.1357447613099794,0.5852936381872473,0.550451123122732,0.0,0.0,0.0,0.0,0.0,-0.007676647278136772,0.010921457996855288,-2.932451564696681e-05,0.0,1.0,1.0,1705.008,0,0.0,0
1696.908,1699.178,1696.138,1697.438,0.608189992242842,1970-01-01 00:00:00.025630511,3.040000000000191,0.5300000000002001,1.740000000000009,0.7699999999999818,1700.688,1701.5747780501804,0.0,1700.641387925753,0.0,1699.8260705678683,0.0,1699.2435309732673,0,0,0.0,0.7845876656526798,0.6313315472345308,0.153256118418149,0.0,0.0,0.0,0.0,0.0,-0.004439861865750738,0.0007251469159443857,-0.0006770329238166006,0.0,1.0,1.0,1697.438,0,0.0,-1
1709.608,1710.698,1707.808,1709.208,1.52987498518632,1970-01-01 00:00:00.025630512,2.8900000000001,0.3999999999998636,1.0900000000001455,1.400000000000091,1705.212,1704.1640879620854,1699.8636999999999,1702.4408576050328,0.0,1701.2389078474848,0.0,1700.4286837489096,0,1,0.0,1.1303363628899206,0.7431375931311334,0.3871987697587872,0.0,0.0,0.0,0.0,0.0,0.006933979326490869,-0.005232225855227424,0.013411692719265345,0.0,1.0,1.0,1709.208,0,0.6470866597684812,0
