DateTime,Open,High,Low,Close,SMA_20,SMA_50,RSI,MACD,MACD_Signal,Signal
2025-01-01 00:00:00,1687.865,1688.305,1687.575,1687.955,,,,0.0,0.0,0
2025-01-01 00:01:00,1687.925,1688.645,1686.768,1687.195,,,,-0.01705128205139772,-0.009472934472998733,0
2025-01-01 00:02:00,1687.195,1687.415,1687.195,1687.295,,,,-0.018625723771947378,-0.013224077628305552,0
2025-01-01 00:03:00,1687.295,1687.535,1686.268,1686.368,,,,-0.05235432345375557,-0.02647958095671003,0
2025-01-01 00:04:00,1686.345,1686.455,1685.785,1686.205,,,,-0.07606589485908444,-0.04123038828130974,0
2025-01-01 00:05:00,1686.025,1686.815,1685.805,1686.815,,,,-0.06280602183664996,-0.047078584556826966,0
2025-01-01 00:06:00,1686.845,1687.175,1685.375,1685.375,,,,-0.11845495081365698,-0.06514203870824933,0
2025-01-01 00:07:00,1685.375,1686.025,1685.375,1685.555,,,,-0.14530390233380786,-0.08440644198165065,0
2025-01-01 00:08:00,1685.555,1685.865,1685.485,1685.525,,,,-0.16317384473791208,-0.10260210278544715,0
2025-01-01 00:09:00,1685.525,1686.875,1685.178,1686.685,,,,-0.11372546911411519,-0.10509438255359803,0
2025-01-01 00:10:00,1686.675,1686.735,1685.768,1685.868,,,,-0.11992452381059593,-0.10833913272215004,0
2025-01-01 00:11:00,1685.785,1685.978,1684.658,1685.138,,,,-0.16293741198251155,-0.12006455334385543,0
2025-01-01 00:12:00,1685.118,1685.528,1684.975,1685.165,,,,-0.19115032265176524,-0.1351087718651878,0
2025-01-01 00:13:00,1685.175,1685.265,1684.825,1685.215,,,30.411781527024132,-0.2068876098896908,-0.15012495833523518,0
2025-01-01 00:14:00,1685.248,1685.455,1685.175,1685.395,,,32.15779202676477,-0.20543470789493767,-0.16159030942608524,0
2025-01-01 00:15:00,1685.395,1685.415,1684.118,1684.338,,,30.87940034801369,-0.26585686502403405,-0.1830475892804018,0
2025-01-01 00:16:00,1684.338,1684.938,1683.948,1684.838,,,34.39207216363863,-0.27769564488562537,-0.2024132769196254,0
2025-01-01 00:17:00,1684.808,1685.028,1682.758,1682.998,,,30.817395264117437,-0.39936493132495343,-0.24252621831232662,0
2025-01-01 00:18:00,1683.248,1683.865,1682.948,1683.565,,,35.633434915107514,-0.45163899635667804,-0.28496031368473934,0
2025-01-01 00:19:00,1683.505,1683.705,1682.958,1683.015,1685.5254,,29.184925503943987,-0.5223304379435376,-0.3329880607607161,0
2025-01-01 00:20:00,1683.055,1683.295,1681.715,1681.715,1685.2133999999999,,29.639519359145197,-0.6566952814971501,-0.3983321981980144,0
2025-01-01 00:21:00,1681.758,1682.608,1681.668,1681.958,1684.9515499999998,,30.12926748425633,-0.7365976736887205,-0.46648819579405265,0
2025-01-01 00:22:00,1682.078,1683.638,1682.068,1683.368,1684.7552,,39.660626977278575,-0.6940407406846134,-0.5122689466262782,0
2025-01-01 00:23:00,1683.448,1683.758,1683.348,1683.558,1684.6147,,33.47426276292214,-0.6397338862864217,-0.537882893000157,0
2025-01-01 00:24:00,1683.618,1684.775,1683.608,1684.648,1684.53685,,43.73330593794941,-0.51421966227349,-0.5331322996204636,0
2025-01-01 00:25:00,1684.658,1684.658,1683.648,1683.898,1684.391,,43.64363338117699,-0.46314933133658087,-0.5190932756171878,0
2025-01-01 00:26:00,1683.898,1684.218,1683.868,1683.918,1684.3181499999998,,43.60315994664993,-0.41652871474957465,-0.4985306460560739,0
2025-01-01 00:27:00,1683.948,1684.068,1683.698,1683.928,1684.2368,,43.37076336664384,-0.374607347277788,-0.47369795288610667,0
2025-01-01 00:28:00,1683.848,1684.008,1683.478,1684.008,1684.16095,,42.78130529822049,-0.33177556814848685,-0.4452694850152916,0
2025-01-01 00:29:00,1684.008,1684.018,1683.688,1683.908,1684.0221000000001,,47.51445086705174,-0.3017507163208393,-0.416530153707473,0
2025-01-01 00:30:00,1683.848,1684.038,1683.588,1683.928,1683.9251,,44.430844553244825,-0.2733415626162241,-0.38786404595117363,0
2025-01-01 00:31:00,1683.918,1684.078,1683.628,1683.795,1683.85795,,56.16586724431337,-0.25777234115139436,-0.3618250747928314,0
2025-01-01 00:32:00,1683.795,1684.145,1683.765,1684.095,1683.80445,,54.276952872820544,-0.2204099936438979,-0.33352412070232473,0
2025-01-01 00:33:00,1684.095,1684.125,1683.845,1684.045,1683.74595,,59.04143258426848,-0.1923783431514039,-0.30528064404808725,0
2025-01-01 00:34:00,1684.045,1684.155,1683.765,1683.915,1683.67195,,74.30402121077985,-0.1779688018482375,-0.2798079426528491,0
2025-01-01 00:35:00,1683.915,1684.225,1683.815,1684.128,1683.66145,,74.13256227757662,-0.14863056755007165,-0.25356395097007045,0
2025-01-01 00:36:00,1684.228,1685.425,1684.138,1684.845,1683.6617999999999,,69.41887983171009,-0.06981144300220876,-0.2168039059231773,0
2025-01-01 00:37:00,1684.845,1685.465,1684.705,1685.095,1683.76665,,69.89386487185907,0.011626702287230728,-0.17110829367373845,0
2025-01-01 00:38:00,1685.095,1685.645,1685.005,1685.115,1683.8441500000001,,58.36018617973509,0.0767501011598597,-0.12152837683033171,0
2025-01-01 00:39:00,1685.125,1685.985,1684.955,1685.528,1683.9698,,83.1840390879422,0.1583912215721739,-0.06553701462121354,0
2025-01-01 00:40:00,1685.488,1685.808,1685.308,1685.368,1684.15245,,77.9275808936761,0.20822032630417198,-0.01077972364220504,0
2025-01-01 00:41:00,1685.418,1685.418,1684.578,1684.678,1684.28845,,61.446886446885415,0.1918044006454238,0.029740548298831822,0
2025-01-01 00:42:00,1684.778,1685.128,1684.728,1684.858,1684.36295,,62.5888625592396,0.19062799667744912,0.061920228010071056,0
2025-01-01 00:43:00,1684.818,1685.498,1684.818,1685.458,1684.45795,,69.99484004128097,0.23388937584491032,0.09631593025719451,0
2025-01-01 00:44:00,1685.528,1685.808,1685.488,1685.648,1684.50795,,71.25556104794705,0.27980405775497275,0.1330151542333964,0
2025-01-01 00:45:00,1685.738,1685.738,1685.188,1685.188,1684.5724500000001,,65.92728104276422,0.276846637610106,0.16178245330281113,0
2025-01-01 00:46:00,1685.148,1685.458,1685.018,1685.208,1684.63695,,63.59638407036599,0.2729185653665809,0.18401029533736699,0
2025-01-01 00:47:00,1685.048,1685.258,1684.888,1684.988,1684.68995,,61.0602861834395,0.2495749916654404,0.19712352703782055,0
2025-01-01 00:48:00,1684.958,1686.268,1684.898,1686.248,1684.8019499999998,,71.629890598927,0.32680553665932166,0.22306039169124867,0
2025-01-01 00:49:00,1686.308,1686.418,1685.908,1685.998,1684.90645,1684.87088,67.2191528545143,0.3640088900317551,0.2512504937019304,1
2025-01-01 00:50:00,1686.038,1686.658,1686.038,1686.118,1685.0159499999997,1684.83414,63.169873784399634,0.3983848393866083,0.2806776988381511,1
2025-01-01 00:51:00,1686.048,1686.278,1685.818,1686.268,1685.1396,1684.8156,62.391717726601804,0.43252060621648525,0.311046557714674,1
2025-01-01 00:52:00,1686.208,1686.378,1686.018,1686.318,1685.25075,1684.79606,62.628595423053845,0.4582429631075229,0.3404860539226033,1
2025-01-01 00:53:00,1686.348,1687.685,1686.298,1687.458,1685.4214,1684.81786,67.57741347905483,0.56277378664754,0.3849438603682183,1
2025-01-01 00:54:00,1687.498,1687.505,1686.758,1687.288,1685.59005,1684.8395200000002,67.45454545454756,0.6248485105395503,0.43292501480099915,1
2025-01-01 00:55:00,1687.258,1687.835,1687.108,1687.458,1685.75655,1684.85238,77.91164658634628,0.6797303670387009,0.4822862699309208,0
